"support_ratio","pattern","setting","idx"
0.65,"ROTS","spt_DIA",1
0.6,"dlfq","DIANN_DIA",2
0.56,"No_norm","MQ_TMT",3
0.54,"No_norm","FG_TMT",4
0.52,"dlfq","MQ_DDA",5
0.52,"dlfq","FG_DDA",6
0.48,"LFQ","spt_DIA",7
0.43,"No_norm","spt_DIA",8
0.43,"limma","FG_TMT",9
0.42,"ROTS","DIANN_DIA",10
0.42,"dlfq","spt_DIA",11
0.4,"LFQ","DIANN_DIA",12
0.38,"proDA","MQ_TMT",13
0.38,"limma","MQ_TMT",14
0.36,"abd","FG_TMT",15
0.36,"LFQ","FG_DDA",16
0.36,"lossf","MQ_TMT",17
0.36,"No_norm","FG_DDA",18
0.35,"No_norm","DIANN_DIA",19
0.33,"phi","FG_TMT",20
